Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,13.48771262,12.19555211,0.069299503
100,13.60522747,12.19555211,0.08729586
200,13.73024344,12.19555211,0.086259917
300,13.85225892,12.19555211,0.086923261
400,13.97277427,12.19555211,0.086478931
500,14.09428954,12.19555211,0.086794489
600,14.21680522,12.19555211,0.086472692
700,14.3393209,12.19555211,0.08668983
800,14.46183634,12.19555211,0.086299533
900,14.58735228,12.19555211,0.08605274
1000,14.70686746,12.19555211,0.085937593
1100,14.82638264,12.19555211,0.085959943
1200,14.94589782,12.19555211,0.085519872
1300,15.06741309,12.19555211,0.084974054
1400,15.18742824,12.19555211,0.085304051
1500,15.30794358,12.19555211,0.085208747
1600,15.42895913,12.19555211,0.085150682
1700,15.54847431,12.19555211,0.085029768
1800,15.67048979,12.19555211,0.084982853
1900,15.79300523,12.19555211,0.084922964
2000,15.91352057,12.19555211,0.084878464
4000,17.94877911,12.19555211,0.08494163
6000,19.96703529,12.19555211,0.085285114
8000,21.99079251,12.19555211,0.085363317
10000,24.02105021,12.19555211,0.085579701
12000,26.13881898,12.19555211,0.085469566
14000,28.19257998,12.19555211,0.085442071
16000,30.22383785,12.19555211,0.085441797
18000,32.248595,12.19555211,0.085285811
20000,34.33385968,12.19555211,0.085274684
22000,36.3961215,12.19555211,0.085248715
24000,38.45288301,12.19555211,0.085267308
26000,40.47763991,12.19555211,0.085229272
28000,42.50289702,12.19555211,0.085186156
30000,44.52415371,12.19555211,0.085230892
32000,46.67742705,12.19555211,0.08516116
34000,48.71218562,12.19555211,0.085152406
36000,50.7414434,12.19555211,0.085152106
38000,52.79170346,12.19555211,0.085137636
40000,54.85596561,12.19555211,0.085153238
42000,56.9862361,12.19555211,0.085198834
44000,59.08350253,12.19555211,0.08518405
46000,61.16026616,12.19555211,0.085137814
48000,63.29453731,12.19555211,0.085188579
50000,65.40080476,12.19555211,0.085209214
